Participant;TargetModality;Target;Modulator;Valence;Arousal
1;Tactile;Leather;VideoGame3;9;4
1;Tactile;Felt;Knocking;5;4
1;Tactile;Aluminium;Bell4;9;2
1;Tactile;Sandpaper;CarHorn;3;4
1;Tactile;Wood;Country Music7;5;4
1;Tactile;Leather;Knocking;9;1
1;Tactile;Felt;Bell4;3;5
1;Tactile;Aluminium;CarHorn;9;1
1;Tactile;Sandpaper;Country Music7;2;6
1;Tactile;Wood;VideoGame3;7;4
1;Tactile;Leather;Bell4;10;6
1;Tactile;Felt;CarHorn;3;6
1;Tactile;Aluminium;Country Music7;8;3
1;Tactile;Sandpaper;VideoGame3;2;7
1;Tactile;Wood;Knocking;4;2
1;Tactile;Leather;CarHorn;9;1
1;Tactile;Felt;Country Music7;3;5
1;Tactile;Aluminium;VideoGame3;7;2
1;Tactile;Sandpaper;Knocking;1;5
1;Tactile;Wood;Bell4;4;2
1;Tactile;Leather;Country Music7;9;2
1;Tactile;Felt;VideoGame3;3;6
1;Tactile;Aluminium;Knocking;9;1
1;Tactile;Sandpaper;Bell4;1;4
1;Tactile;Wood;CarHorn;5;2
2;Tactile;Leather;VideoGame3;6;6
2;Tactile;Felt;Knocking;5;2
2;Tactile;Aluminium;Bell4;6;6
2;Tactile;Sandpaper;CarHorn;1;8
2;Tactile;Wood;Country Music7;8;8
2;Tactile;Leather;Knocking;6;7
2;Tactile;Felt;Bell4;4;7
2;Tactile;Aluminium;CarHorn;6;7
2;Tactile;Sandpaper;Country Music7;7;8
2;Tactile;Wood;VideoGame3;4;6
2;Tactile;Leather;Bell4;6;5
2;Tactile;Felt;CarHorn;2;8
2;Tactile;Aluminium;Country Music7;7;6
2;Tactile;Sandpaper;VideoGame3;5;4
2;Tactile;Wood;Knocking;6;5
2;Tactile;Leather;CarHorn;6;6
2;Tactile;Felt;Country Music7;6;7
2;Tactile;Aluminium;VideoGame3;6;5
2;Tactile;Sandpaper;Knocking;2;7
2;Tactile;Wood;Bell4;4;7
2;Tactile;Leather;Country Music7;7;8
2;Tactile;Felt;VideoGame3;6;5
2;Tactile;Aluminium;Knocking;5;7
2;Tactile;Sandpaper;Bell4;2;7
2;Tactile;Wood;CarHorn;6;7
3;Tactile;Leather;VideoGame3;5;6
3;Tactile;Felt;Knocking;2;4
3;Tactile;Aluminium;Bell4;6;4
3;Tactile;Sandpaper;CarHorn;2;7
3;Tactile;Wood;Country Music7;3;3
3;Tactile;Leather;Knocking;4;6
3;Tactile;Felt;Bell4;2;5
3;Tactile;Aluminium;CarHorn;3;6
3;Tactile;Sandpaper;Country Music7;2;6
3;Tactile;Wood;VideoGame3;6;5
3;Tactile;Leather;Bell4;6;2
3;Tactile;Felt;CarHorn;3;6
3;Tactile;Aluminium;Country Music7;5;3
3;Tactile;Sandpaper;VideoGame3;3;6
3;Tactile;Wood;Knocking;4;4
3;Tactile;Leather;CarHorn;6;3
3;Tactile;Felt;Country Music7;4;5
3;Tactile;Aluminium;VideoGame3;4;6
3;Tactile;Sandpaper;Knocking;2;6
3;Tactile;Wood;Bell4;4;5
3;Tactile;Leather;Country Music7;4;6
3;Tactile;Felt;VideoGame3;3;5
3;Tactile;Aluminium;Knocking;4;4
3;Tactile;Sandpaper;Bell4;2;6
3;Tactile;Wood;CarHorn;4;4
4;Tactile;Leather;VideoGame3;7;7
4;Tactile;Felt;Knocking;3;7
4;Tactile;Aluminium;Bell4;6;6
4;Tactile;Sandpaper;CarHorn;4;5
4;Tactile;Wood;Country Music7;7;7
4;Tactile;Leather;Knocking;7;7
4;Tactile;Felt;Bell4;5;6
4;Tactile;Aluminium;CarHorn;7;7
4;Tactile;Sandpaper;Country Music7;3;7
4;Tactile;Wood;VideoGame3;8;7
4;Tactile;Leather;Bell4;7;6
4;Tactile;Felt;CarHorn;5;6
4;Tactile;Aluminium;Country Music7;7;7
4;Tactile;Sandpaper;VideoGame3;3;8
4;Tactile;Wood;Knocking;8;7
4;Tactile;Leather;CarHorn;7;6
4;Tactile;Felt;Country Music7;5;6
4;Tactile;Aluminium;VideoGame3;6;4
4;Tactile;Sandpaper;Knocking;4;6
4;Tactile;Wood;Bell4;8;7
4;Tactile;Leather;Country Music7;7;7
4;Tactile;Felt;VideoGame3;5;6
4;Tactile;Aluminium;Knocking;7;7
4;Tactile;Sandpaper;Bell4;4;7
4;Tactile;Wood;CarHorn;8;6
5;Tactile;Leather;VideoGame3;7;7
5;Tactile;Felt;Knocking;8;5
5;Tactile;Aluminium;Bell4;5;5
5;Tactile;Sandpaper;CarHorn;7;4
5;Tactile;Wood;Country Music7;6;5
5;Tactile;Leather;Knocking;4;7
5;Tactile;Felt;Bell4;6;5
5;Tactile;Aluminium;CarHorn;7;3
5;Tactile;Sandpaper;Country Music7;7;4
5;Tactile;Wood;VideoGame3;7;5
5;Tactile;Leather;Bell4;6;5
5;Tactile;Felt;CarHorn;4;6
5;Tactile;Aluminium;Country Music7;7;6
5;Tactile;Sandpaper;VideoGame3;5;6
5;Tactile;Wood;Knocking;7;5
5;Tactile;Leather;CarHorn;3;7
5;Tactile;Felt;Country Music7;4;6
5;Tactile;Aluminium;VideoGame3;8;6
5;Tactile;Sandpaper;Knocking;4;7
5;Tactile;Wood;Bell4;6;4
5;Tactile;Leather;Country Music7;7;7
5;Tactile;Felt;VideoGame3;7;7
5;Tactile;Aluminium;Knocking;8;6
5;Tactile;Sandpaper;Bell4;1;10
5;Tactile;Wood;CarHorn;6;3
6;Tactile;Leather;VideoGame3;6;5
6;Tactile;Felt;Knocking;5;6
6;Tactile;Aluminium;Bell4;6;5
6;Tactile;Sandpaper;CarHorn;2;8
6;Tactile;Wood;Country Music7;6;5
6;Tactile;Leather;Knocking;6;5
6;Tactile;Felt;Bell4;4;5
6;Tactile;Aluminium;CarHorn;6;4
6;Tactile;Sandpaper;Country Music7;3;7
6;Tactile;Wood;VideoGame3;4;4
6;Tactile;Leather;Bell4;6;4
6;Tactile;Felt;CarHorn;4;6
6;Tactile;Aluminium;Country Music7;5;4
6;Tactile;Sandpaper;VideoGame3;2;7
6;Tactile;Wood;Knocking;4;4
6;Tactile;Leather;CarHorn;6;4
6;Tactile;Felt;Country Music7;4;6
6;Tactile;Aluminium;VideoGame3;5;5
6;Tactile;Sandpaper;Knocking;3;7
6;Tactile;Wood;Bell4;4;4
6;Tactile;Leather;Country Music7;5;4
6;Tactile;Felt;VideoGame3;4;6
6;Tactile;Aluminium;Knocking;4;4
6;Tactile;Sandpaper;Bell4;2;8
6;Tactile;Wood;CarHorn;4;5
7;Tactile;Leather;VideoGame3;5;4
7;Tactile;Felt;Knocking;6;5
7;Tactile;Aluminium;Bell4;6;3
7;Tactile;Sandpaper;CarHorn;3;6
7;Tactile;Wood;Country Music7;6;2
7;Tactile;Leather;Knocking;6;2
7;Tactile;Felt;Bell4;7;4
7;Tactile;Aluminium;CarHorn;6;2
7;Tactile;Sandpaper;Country Music7;3;5
7;Tactile;Wood;VideoGame3;5;2
7;Tactile;Leather;Bell4;6;2
7;Tactile;Felt;CarHorn;4;5
7;Tactile;Aluminium;Country Music7;5;2
7;Tactile;Sandpaper;VideoGame3;3;6
7;Tactile;Wood;Knocking;6;2
7;Tactile;Leather;CarHorn;5;2
7;Tactile;Felt;Country Music7;2;5
7;Tactile;Aluminium;VideoGame3;4;3
7;Tactile;Sandpaper;Knocking;2;5
7;Tactile;Wood;Bell4;5;2
7;Tactile;Leather;Country Music7;6;2
7;Tactile;Felt;VideoGame3;5;5
7;Tactile;Aluminium;Knocking;5;3
7;Tactile;Sandpaper;Bell4;3;5
7;Tactile;Wood;CarHorn;5;2
8;Tactile;Leather;VideoGame3;7;3
8;Tactile;Felt;Knocking;7;6
8;Tactile;Aluminium;Bell4;7;5
8;Tactile;Sandpaper;CarHorn;5;6
8;Tactile;Wood;Country Music7;7;7
8;Tactile;Leather;Knocking;6;6
8;Tactile;Felt;Bell4;6;7
8;Tactile;Aluminium;CarHorn;8;6
8;Tactile;Sandpaper;Country Music7;5;7
8;Tactile;Wood;VideoGame3;7;7
8;Tactile;Leather;Bell4;8;7
8;Tactile;Felt;CarHorn;6;5
8;Tactile;Aluminium;Country Music7;7;5
8;Tactile;Sandpaper;VideoGame3;3;8
8;Tactile;Wood;Knocking;6;7
8;Tactile;Leather;CarHorn;6;5
8;Tactile;Felt;Country Music7;6;6
8;Tactile;Aluminium;VideoGame3;7;6
8;Tactile;Sandpaper;Knocking;2;9
8;Tactile;Wood;Bell4;7;7
8;Tactile;Leather;Country Music7;8;6
8;Tactile;Felt;VideoGame3;5;6
8;Tactile;Aluminium;Knocking;7;8
8;Tactile;Sandpaper;Bell4;4;8
8;Tactile;Wood;CarHorn;6;7
9;Tactile;Leather;VideoGame3;7;4
9;Tactile;Felt;Knocking;6;4
9;Tactile;Aluminium;Bell4;8;7
9;Tactile;Sandpaper;CarHorn;3;4
9;Tactile;Wood;Country Music7;9;7
9;Tactile;Leather;Knocking;7;6
9;Tactile;Felt;Bell4;6;6
9;Tactile;Aluminium;CarHorn;8;4
9;Tactile;Sandpaper;Country Music7;4;5
9;Tactile;Wood;VideoGame3;7;5
9;Tactile;Leather;Bell4;8;9
9;Tactile;Felt;CarHorn;6;4
9;Tactile;Aluminium;Country Music7;7;8
9;Tactile;Sandpaper;VideoGame3;3;8
9;Tactile;Wood;Knocking;7;6
9;Tactile;Leather;CarHorn;7;6
9;Tactile;Felt;Country Music7;6;5
9;Tactile;Aluminium;VideoGame3;8;7
9;Tactile;Sandpaper;Knocking;3;7
9;Tactile;Wood;Bell4;5;5
9;Tactile;Leather;Country Music7;7;6
9;Tactile;Felt;VideoGame3;7;4
9;Tactile;Aluminium;Knocking;6;5
9;Tactile;Sandpaper;Bell4;3;7
9;Tactile;Wood;CarHorn;7;4
10;Tactile;Leather;VideoGame3;5;7
10;Tactile;Felt;Knocking;5;4
10;Tactile;Aluminium;Bell4;5;6
10;Tactile;Sandpaper;CarHorn;2;7
10;Tactile;Wood;Country Music7;4;4
10;Tactile;Leather;Knocking;6;4
10;Tactile;Felt;Bell4;5;6
