Timestamp_Shimmer;Skin_Conductance;Skin_Resistance;PPG_A13
8.149.659.423.828.120;1.602.787.456.445.990;6.239.130.434.782.600;3.003.663.003.663.000
8.150.659.484.863.280;1.602.787.456.445.990;6.239.130.434.782.600;3.010.989.010.989.010
8.151.659.545.898.430;1.602.787.456.445.990;6.239.130.434.782.600;2.996.336.996.336.990
8.152.659.606.933.590;16.032.979.796.045.900;6.237.143.766.916.090;3.010.989.010.989.010
815.365.966.796.875;1.602.787.456.445.990;6.239.130.434.782.600;2.996.336.996.336.990
8.154.659.729.003.900;1.602.787.456.445.990;6.239.130.434.782.600;3.003.663.003.663.000
8.155.659.790.039.060;16.038.085.027.632.000;6.235.158.363.838.930;3.003.663.003.663.000
8.156.659.851.074.210;16.032.979.796.045.900;6.237.143.766.916.090;2.996.336.996.336.990
8.157.659.912.109.370;16.038.085.027.632.000;6.235.158.363.838.930;3.003.663.003.663.000
8.158.659.973.144.530;16.038.085.027.632.000;6.235.158.363.838.930;2.996.336.996.336.990
8.159.660.034.179.680;16.043.190.259.218.100;6.233.174.224.343.670;29.890.109.890.109.800
8.160.660.095.214.840;16.043.190.259.218.100;6.233.174.224.343.670;2.996.336.996.336.990
816.166.015.625;160.482.954.908.042;6.231.191.347.224.430;29.890.109.890.109.800
8.162.660.217.285.150;160.482.954.908.042;6.231.191.347.224.430;2.996.336.996.336.990
8.163.660.278.320.310;1.605.340.072.239.020;62.292.097.312.768.300;29.890.109.890.109.800
8.164.660.339.355.460;1.605.340.072.239.020;62.292.097.312.768.300;29.890.109.890.109.800
8.165.660.400.390.620;16.063.611.185.562.400;6.225.250.278.086.760;2.996.336.996.336.990
8.166.660.461.425.780;16.058.505.953.976.300;6.227.229.375.298.040;29.890.109.890.109.800
8.167.660.522.460.930;16.063.611.185.562.400;6.225.250.278.086.760;29.890.109.890.109.800
8.168.660.583.496.090;16.063.611.185.562.400;6.225.250.278.086.760;2.996.336.996.336.990
816.966.064.453.125;16.063.611.185.562.400;6.225.250.278.086.760;29.890.109.890.109.800
8.170.660.705.566.400;16.068.716.417.148.400;62.232.724.384.432.000;29.890.109.890.109.800
8.171.660.766.601.560;1.607.382.164.873.450;6.221.295.855.169.120;29.890.109.890.109.800
8.172.660.827.636.710;1.607.382.164.873.450;6.221.295.855.169.120;29.816.849.816.849.800
8.173.660.888.671.870;1.607.382.164.873.450;6.221.295.855.169.120;29.890.109.890.109.800
8.174.660.949.707.030;1.607.382.164.873.450;6.221.295.855.169.120;29.890.109.890.109.800
8.175.661.010.742.180;16.078.926.880.320.600;6.219.320.527.067.780;29.890.109.890.109.800
8.176.661.071.777.340;1.607.382.164.873.450;6.221.295.855.169.120;29.890.109.890.109.800
81.776.611.328.125;16.078.926.880.320.600;6.219.320.527.067.780;29.890.109.890.109.800
8.178.661.193.847.650;16.078.926.880.320.600;6.219.320.527.067.780;29.816.849.816.849.800
8.179.661.254.882.810;16.078.926.880.320.600;6.219.320.527.067.780;29.816.849.816.849.800
8.180.661.315.917.960;16.084.032.111.906.600;6.217.346.452.943.970;29.816.849.816.849.800
8.181.661.376.953.120;16.084.032.111.906.600;6.217.346.452.943.970;29.816.849.816.849.800
8.182.661.437.988.280;16.078.926.880.320.600;6.219.320.527.067.780;29.816.849.816.849.800
8.183.661.499.023.430;1.608.913.734.349.270;6.215.373.631.603.990;29.816.849.816.849.800
8.184.661.560.058.590;1.608.913.734.349.270;6.215.373.631.603.990;29.816.849.816.849.800
818.566.162.109.375;1.608.913.734.349.270;6.215.373.631.603.990;29.816.849.816.849.800
8.186.661.682.128.900;16.094.242.575.078.800;62.134.020.618.556.700;29.816.849.816.849.800
8.187.661.743.164.060;1.609.934.780.666.480;6.211.431.742.508.320;29.816.849.816.849.800
8.188.661.804.199.210;16.104.453.038.250.900;6.209.462.672.372.800;29.816.849.816.849.800
8.189.661.865.234.370;16.104.453.038.250.900;6.209.462.672.372.800;29.816.849.816.849.800
8.190.661.926.269.530;16.109.558.269.837.000;6.207.494.850.261.440;29.816.849.816.849.800
8.191.661.987.304.680;1.611.976.873.300.910;62.035.629.453.681.700;2.974.358.974.358.970
8.192.662.048.339.840;1.611.976.873.300.910;62.035.629.453.681.700;29.523.809.523.809.500
8.193.662.109.375;16.135.084.427.767.300;619.767.441.860.465;29.597.069.597.069.500
8.194.662.170.410.150;16.140.189.659.353.400;61.957.140.597.817.400;29.523.809.523.809.500
8.195.662.231.445.310;16.145.294.890.939.400;61.937.549.407.114.600;29.523.809.523.809.500
8.196.662.292.480.460;1.615.040.012.252.550;6.191.797.060.218.110;29.523.809.523.809.500
8.197.662.353.515.620;1.616.571.581.728.370;6.185.930.838.465.180;29.523.809.523.809.500
8.198.662.414.550.780;1.617.082.104.886.980;6.183.977.900.552.480;29.523.809.523.809.500
8.199.662.475.585.930;16.175.926.280.455.800;618.202.619.536.058;2.945.054.945.054.940
8.200.662.536.621.090;16.181.031.512.041.900;6.180.075.721.722.660;29.523.809.523.809.500
820.166.259.765.625;16.181.031.512.041.900;6.180.075.721.722.660;29.597.069.597.069.500
8.202.662.658.691.400;161.912.419.752.141;61.761.784.644.489.900;2.945.054.945.054.940
8.203.662.719.726.560;161.912.419.752.141;61.761.784.644.489.900;2.945.054.945.054.940
8.204.662.780.761.710;1.619.634.720.680.010;6.174.231.678.486.990;2.945.054.945.054.940
8.205.662.841.796.870;16.201.452.438.386.200;61.722.861.194.265;2.945.054.945.054.940
8.206.662.902.832.030;1.621.676.813.314.440;61.664.567.920.667.300;2.945.054.945.054.940
8.207.662.963.867.180;1.621.676.813.314.440;61.664.567.920.667.300;2.945.054.945.054.940
8.208.663.024.902.340;16.221.873.364.730.500;6.164.516.129.032.250;2.945.054.945.054.940
82.096.630.859.375;16.226.978.596.316.500;6.162.576.687.116.560;2.945.054.945.054.940
