"time","SC","SR","PPG","SR_transformed","SC_transformed","SC_z","SR_z"
8.149,1.602,6.239,3.003,6.239,1.602,-1.22971036004571,1.26358266102001
8.15,1.602,6.239,3.01,6.239,1.602,-1.22971036004571,1.26358266102001
8.151,1.602,6.239,2.996,6.239,1.602,-1.22971036004571,1.26358266102001
8.152,1.6032,6.237,3.01,6.237,1.6032,-1.21111623030745,1.25467879087435
8.15365,1.602,6.239,2.996,6.239,1.602,-1.22971036004571,1.26358266102001
8.154,1.602,6.239,3.003,6.239,1.602,-1.22971036004571,1.26358266102001
8.155,1.6038,6.235,3.003,6.235,1.6038,-1.20181916543832,1.2457749207287
8.156,1.6032,6.237,2.996,6.237,1.6032,-1.21111623030745,1.25467879087435
8.157,1.6038,6.235,3.003,6.235,1.6038,-1.20181916543832,1.2457749207287
8.158,1.6038,6.235,2.996,6.235,1.6038,-1.20181916543832,1.2457749207287
8.159,1.6043,6.233,2.989,6.233,1.6043,-1.19407161138072,1.23687105058305
8.16,1.6043,6.233,2.996,6.233,1.6043,-1.19407161138072,1.23687105058305
8.16166,1.60482,6.231,2.989,6.231,1.60482,-1.1860141551608,1.2279671804374
8.162,1.60482,6.231,2.996,6.231,1.60482,-1.1860141551608,1.2279671804374
8.163,1.605,6.2292,2.989,6.2292,1.605,-1.18322503570006,1.21995369730631
8.164,1.605,6.2292,2.989,6.2292,1.605,-1.18322503570006,1.21995369730631
8.165,1.6063,6.225,2.996,6.225,1.6063,-1.16308139515028,1.20125557000044
8.166,1.6058,6.227,2.989,6.227,1.6058,-1.17082894920789,1.21015944014609
8.167,1.6063,6.225,2.989,6.225,1.6063,-1.16308139515028,1.20125557000044
8.168,1.6063,6.225,2.996,6.225,1.6063,-1.16308139515028,1.20125557000044
8.16966,1.6063,6.225,2.989,6.225,1.6063,-1.16308139515028,1.20125557000044
8.17,1.6068,6.2232,2.989,6.2232,1.6068,-1.15533384109268,1.19324208686936
8.171,1.607,6.221,2.989,6.221,1.607,-1.15223481946963,1.18344782970914
8.172,1.607,6.221,2.9816,6.221,1.607,-1.15223481946963,1.18344782970914
8.173,1.607,6.221,2.989,6.221,1.607,-1.15223481946963,1.18344782970914
8.174,1.607,6.221,2.989,6.221,1.607,-1.15223481946963,1.18344782970914
8.175,1.6078,6.219,2.989,6.219,1.6078,-1.13983873297746,1.17454395956349
8.176,1.607,6.221,2.989,6.221,1.607,-1.15223481946963,1.18344782970914
8.1776,1.6078,6.219,2.989,6.219,1.6078,-1.13983873297746,1.17454395956349
8.178,1.6078,6.219,2.9816,6.219,1.6078,-1.13983873297746,1.17454395956349
8.179,1.6078,6.219,2.9816,6.219,1.6078,-1.13983873297746,1.17454395956349
8.18,1.6084,6.217,2.9816,6.217,1.6084,-1.13054166810833,1.16564008941784
8.181,1.6084,6.217,2.9816,6.217,1.6084,-1.13054166810833,1.16564008941784
8.182,1.6078,6.219,2.9816,6.219,1.6078,-1.13983873297746,1.17454395956349
